Year,Postseason Start Week,Team File Name,Game File Name
1998,16,1998/fbs_teams.csv,1998/fbs_games.csv
1999,16,1999/fbs_teams.csv,1999/fbs_games.csv
2000,16,2000/fbs_teams.csv,2000/fbs_games.csv
2001,16,2001/fbs_teams.csv,2001/fbs_games.csv
2002,17,2002/fbs_teams.csv,2002/fbs_games.csv
2003,17,2003/fbs_teams.csv,2003/fbs_games.csv
2004,16,2004/fbs_teams.csv,2004/fbs_games.csv
2005,15,2005/fbs_teams.csv,2005/fbs_games.csv
2006,15,2006/fbs_teams.csv,2006/fbs_games.csv
2007,15,2007/fbs_teams.csv,2007/fbs_games.csv
2008,16,2008/fbs_teams.csv,2008/fbs_games.csv
2009,16,2009/fbs_teams.csv,2009/fbs_games.csv
2010,16,2010/fbs_teams.csv,2010/fbs_games.csv
2011,16,2011/fbs_teams.csv,2011/fbs_games.csv
2012,16,2012/fbs_teams.csv,2012/fbs_games.csv
2013,17,2013/fbs_teams.csv,2013/fbs_games.csv
2014,17,2014/fbs_teams.csv,2014/fbs_games.csv
2015,16,2015/fbs_teams.csv,2015/fbs_games.csv
2016,17,2016/fbs_teams.csv,2016/fbs_games.csv
